participant_id,lag_steps,lag_minutes,pacf
HUPA0002P,30,150,-1.0685315112885893e-06
HUPA0002P,31,155,0.008235007815648643
HUPA0002P,32,160,-0.026000807392673204
HUPA0002P,33,165,0.0060142650470604644
HUPA0002P,34,170,0.006880679465274685
HUPA0002P,35,175,-0.09175885712653338
HUPA0002P,36,180,-0.010118405793577197
HUPA0002P,37,185,-0.005162654715544917
HUPA0002P,38,190,0.02911530963772754
HUPA0002P,39,195,0.0002237310990788623
HUPA0002P,40,200,0.0007604197367971886
HUPA0002P,41,205,-0.010492088734856712
HUPA0002P,42,210,-0.0024811259749748034
HUPA0002P,43,215,0.0008357738491193386
HUPA0002P,44,220,-0.0030782454993474374
HUPA0002P,45,225,0.0007608038758915905
HUPA0002P,46,230,0.0015498317318282
HUPA0002P,47,235,0.028592748826940816
HUPA0002P,48,240,0.010519861580976628
HUPA0002P,49,245,0.008703854267499547
HUPA0002P,50,250,-0.013897965931863624
HUPA0002P,51,255,0.002284678609293499
HUPA0002P,52,260,0.007206607148876801
HUPA0002P,53,265,-0.026516659477091344
HUPA0002P,54,270,0.0009653410344801367
HUPA0002P,55,275,0.0037625552718400395
HUPA0002P,56,280,0.07012623412778797
HUPA0002P,57,285,0.014542641435045066
HUPA0002P,58,290,0.015825899789366535
HUPA0002P,59,295,0.008209743770502625
HUPA0002P,60,300,0.016140817503747393
HUPA0002P,61,305,0.01796073902244158
HUPA0002P,62,310,-0.017073936933770708
HUPA0002P,63,315,0.012980379922158612
HUPA0002P,64,320,0.015813256032418982
HUPA0002P,65,325,-0.08130637537500907
HUPA0002P,66,330,-0.005806332939956402
HUPA0002P,67,335,0.0024323107455997283
HUPA0002P,68,340,-0.025502221042772086
HUPA0002P,69,345,-0.00812483435845853
HUPA0002P,70,350,-0.0026805160110053012
HUPA0002P,71,355,0.0055225116674889815
HUPA0002P,72,360,-0.002993391587952225
HUPA0003P,1,5,0.9958053285088623
HUPA0003P,2,10,-0.5067902719893618
HUPA0003P,3,15,-0.14996577762733057
HUPA0003P,4,20,-0.23042560747611102
HUPA0003P,5,25,-0.047141523956749344
HUPA0003P,6,30,-0.043864347279980856
HUPA0003P,7,35,-0.006160455198590921
HUPA0003P,8,40,0.0342258000276478
HUPA0003P,9,45,0.018614849384102496
HUPA0003P,10,50,0.0339960711865055
HUPA0003P,11,55,-0.009956587093869233
HUPA0003P,12,60,-0.015883716952974757
HUPA0003P,13,65,-0.01904106930000739
HUPA0003P,14,70,-0.008371433075687232
HUPA0003P,15,75,-0.0007991881841849029
HUPA0003P,16,80,0.0002514621358944604
HUPA0003P,17,85,-0.012223829935151751
HUPA0003P,18,90,-0.008852172085593378
HUPA0003P,19,95,-0.0016152398476872946
HUPA0003P,20,100,-0.007141243367041472
HUPA0003P,21,105,0.003339125693960236
HUPA0003P,22,110,-0.003729856375375829
HUPA0003P,23,115,0.0051704025064130315
HUPA0003P,24,120,-0.005794720675750316
HUPA0003P,25,125,-0.007811921170573918
HUPA0003P,26,130,-0.0102412001130411
HUPA0003P,27,135,-0.019158482328920257
HUPA0003P,28,140,-0.0018413146425192274
HUPA0003P,29,145,-0.0026435602406329633
HUPA0003P,30,150,-0.003327286705526215
HUPA0003P,31,155,0.0031925513428138477
HUPA0003P,32,160,0.0029078877998015566
HUPA0003P,33,165,-0.010706704617915955
HUPA0003P,34,170,-0.010830874852885529
HUPA0003P,35,175,-0.03070720585998134
HUPA0003P,36,180,-0.0052212643752407055
HUPA0003P,37,185,-0.006958110749889054
HUPA0003P,38,190,0.00427110768111763
HUPA0003P,39,195,-0.0006990139150758648
HUPA0003P,40,200,-0.011208204462750317
HUPA0003P,41,205,-0.0225088208631896
HUPA0003P,42,210,-0.01738444377428403
HUPA0003P,43,215,0.020541505377950273
HUPA0003P,44,220,-0.04389170690685537
HUPA0003P,45,225,-0.009198973396418142
HUPA0003P,46,230,-0.019413258875120607
HUPA0003P,47,235,0.007167547591120636
HUPA0003P,48,240,0.0007619282986176283
HUPA0003P,49,245,-0.004604308724311842
HUPA0003P,50,250,-0.008076924386762137
HUPA0003P,51,255,0.004907707351211601
HUPA0003P,52,260,0.009348485585666352
HUPA0003P,53,265,0.015273389231364324
HUPA0003P,54,270,0.011343976253639802
HUPA0003P,55,275,0.013515992583250872
HUPA0003P,56,280,0.009137377036005551
HUPA0003P,57,285,0.0029504204072553996
HUPA0003P,58,290,0.0006180750233439208
HUPA0003P,59,295,-0.0015603124702890977
HUPA0003P,60,300,0.00836392528022789
HUPA0003P,61,305,-0.0017655107472973797
HUPA0003P,62,310,0.00024636524764226115
HUPA0003P,63,315,-0.007109004906317676
HUPA0003P,64,320,0.004939373297192839
HUPA0003P,65,325,0.0016740825935877548
HUPA0003P,66,330,0.015752332740128192
HUPA0003P,67,335,0.02127897521185687
HUPA0003P,68,340,0.008138455448149113
HUPA0003P,69,345,0.014792756893399341
HUPA0003P,70,350,0.00333608558887865
HUPA0003P,71,355,-0.0006275427031336275
HUPA0003P,72,360,0.016625132042180482
HUPA0004P,1,5,0.9977305079887983
HUPA0004P,2,10,-0.8866390036372249
HUPA0004P,3,15,-0.09773388464249011
HUPA0004P,4,20,0.009377968961833644
HUPA0004P,5,25,0.16033894865137382
HUPA0004P,6,30,0.081424395114258
HUPA0004P,7,35,0.06846547216757994
HUPA0004P,8,40,-0.1277015452006977
HUPA0004P,9,45,-0.010422659562759071
HUPA0004P,10,50,0.04024084056513351
HUPA0004P,11,55,-0.07543789304494064
HUPA0004P,12,60,-0.014873521031619295
HUPA0004P,13,65,0.022025552604760832
HUPA0004P,14,70,-0.06268830011927985
HUPA0004P,15,75,0.043236272321050456
HUPA0004P,16,80,0.03601295591915671
HUPA0004P,17,85,-0.02321906027824341
HUPA0004P,18,90,0.0018117281511877813
HUPA0004P,19,95,0.016766440681645994
HUPA0004P,20,100,-0.05125560525975047
HUPA0004P,21,105,0.0008407731948943401
HUPA0004P,22,110,0.016303381702090197
HUPA0004P,23,115,-0.031185815459492554
HUPA0004P,24,120,0.002813370395993265
HUPA0004P,25,125,0.01379357087407712
HUPA0004P,26,130,-0.01347736244254789
HUPA0004P,27,135,0.011698889614499247
HUPA0004P,28,140,0.01171190798808177
HUPA0004P,29,145,-0.00511716122189873
HUPA0004P,30,150,0.00913809340947277
HUPA0004P,31,155,0.013192139325606252
HUPA0004P,32,160,-0.02588714940155863
HUPA0004P,33,165,-0.0053676115236132695
HUPA0004P,34,170,0.007854673345169974
HUPA0004P,35,175,-0.00686692072107269
HUPA0004P,36,180,-0.006576342338581463
HUPA0004P,37,185,0.004365086397913104
HUPA0004P,38,190,-0.01045711936497276
HUPA0004P,39,195,0.004317340992016737
HUPA0004P,40,200,0.00663648035881512
HUPA0004P,41,205,-0.011936682591146094
HUPA0004P,42,210,0.008950485824350853
HUPA0004P,43,215,0.006956551085964254
HUPA0004P,44,220,0.007733053455541093
HUPA0004P,45,225,-0.0068377513825533765
HUPA0004P,46,230,0.0015706022002180185
HUPA0004P,47,235,-0.035840179391079294
HUPA0004P,48,240,-0.007796200114888199
HUPA0004P,49,245,0.0018648107541963585
HUPA0004P,50,250,0.012583803589646161
HUPA0004P,51,255,0.00915037750423988
HUPA0004P,52,260,0.0034297459470358
HUPA0004P,53,265,0.026482429908866286
HUPA0004P,54,270,0.005126348566642692
HUPA0004P,55,275,0.003677607644220412
HUPA0004P,56,280,-0.03763433254907166
HUPA0004P,57,285,0.025269842978444514
HUPA0004P,58,290,0.016442961454013725
HUPA0004P,59,295,0.02464529077414359
HUPA0004P,60,300,-0.007471440046900866
HUPA0004P,61,305,0.0013809288577408666
HUPA0004P,62,310,-0.0009232827858113449
HUPA0004P,63,315,0.012753231767562231
HUPA0004P,64,320,0.011340434446098502
HUPA0004P,65,325,-1.9972888610705297e-05
HUPA0004P,66,330,-0.005629792212111285
